GEO_ID,NAME,S1701_C01_001E,S1701_C01_001M,% Under 18 In Poverty
51001,"Accomack County, Virginia",33078,6940,20.98071226
51003,"Albemarle County, Virginia",103408,22156,21.42580845
51005,"Alleghany County, Virginia",15032,2887,19.20569452
51007,"Amelia County, Virginia",13135,2813,21.41606395
51009,"Amherst County, Virginia",30598,6037,19.73004772
51011,"Appomattox County, Virginia",15966,3478,21.78379055
51013,"Arlington County, Virginia",232517,42599,18.32081095
51015,"Augusta County, Virginia",72925,14541,19.93966404
51017,"Bath County, Virginia",4177,598,14.31649509
51019,"Bedford County, Virginia",78490,15465,19.7031469
51021,"Bland County, Virginia",5292,965,18.23507181
51023,"Botetourt County, Virginia",33189,6402,19.28952364
51025,"Brunswick County, Virginia",13537,2646,19.54642831
51027,"Buchanan County, Virginia",19747,3300,16.7113992
51029,"Buckingham County, Virginia",14833,2980,20.09033911
51031,"Campbell County, Virginia",54948,11018,20.05168523
51033,"Caroline County, Virginia",28796,6787,23.56924573
51035,"Carroll County, Virginia",28956,5249,18.1275038
51036,"Charles City County, Virginia",6800,1014,14.91176471
51037,"Charlotte County, Virginia",11365,2444,21.50461945
51041,"Chesterfield County, Virginia",355142,84191,23.70629213
51043,"Clarke County, Virginia",14529,2790,19.20297336
51045,"Craig County, Virginia",4782,954,19.94981179
51047,"Culpeper County, Virginia",50364,12322,24.46588833
51049,"Cumberland County, Virginia",9669,1908,19.73316786
51051,"Dickenson County, Virginia",13799,2763,20.02319009
51053,"Dinwiddie County, Virginia",27213,5777,21.22882446
51057,"Essex County, Virginia",10537,1999,18.97124419
51059,"Fairfax County, Virginia",1137354,267813,23.5470223
51061,"Fauquier County, Virginia",72057,16806,23.32320246
51063,"Floyd County, Virginia",15453,2936,18.99954701
51065,"Fluvanna County, Virginia",25552,5128,20.06887915
51067,"Franklin County, Virginia",53134,10088,18.98596003
51069,"Frederick County, Virginia",88577,20388,23.01726182
51071,"Giles County, Virginia",16582,3343,20.16041491
51073,"Gloucester County, Virginia",37965,7365,19.39944686
51075,"Goochland County, Virginia",23226,4126,17.76457418
51077,"Grayson County, Virginia",14520,2519,17.34848485
51079,"Greene County, Virginia",20250,4832,23.8617284
51081,"Greensville County, Virginia",8393,1743,20.76730609
51083,"Halifax County, Virginia",33484,6971,20.81889858
51085,"Hanover County, Virginia",107391,23790,22.15269436
51087,"Henrico County, Virginia",329265,74846,22.73123472
51089,"Henry County, Virginia",50243,9799,19.50321438
51091,"Highland County, Virginia",2210,283,12.80542986
51093,"Isle of Wight County, Virginia",38101,8089,21.2304139
51095,"James City County, Virginia",76891,15548,20.22083209
51097,"King and Queen County, Virginia",6680,1249,18.69760479
51099,"King George County, Virginia",26265,6568,25.00666286
51101,"King William County, Virginia",17384,3921,22.55522319
51103,"Lancaster County, Virginia",10751,1726,16.05432053
51105,"Lee County, Virginia",20937,4048,19.33419306
51107,"Loudoun County, Virginia",411218,114323,27.80106902
51109,"Louisa County, Virginia",37026,7457,20.13990169
51111,"Lunenburg County, Virginia",11057,2338,21.14497603
51113,"Madison County, Virginia",13559,2769,20.42186002
51115,"Mathews County, Virginia",8465,1396,16.49143532
51117,"Mecklenburg County, Virginia",29414,5600,19.03855307
51119,"Middlesex County, Virginia",10304,1526,14.80978261
51121,"Montgomery County, Virginia",89669,15187,16.93673399
51125,"Nelson County, Virginia",14750,2572,17.43728814
51127,"New Kent County, Virginia",21863,4463,20.41348397
51131,"Northampton County, Virginia",11966,2324,19.4216948
51133,"Northumberland County, Virginia",11920,1760,14.76510067
51135,"Nottoway County, Virginia",13942,3015,21.62530483
51137,"Orange County, Virginia",35303,7470,21.15967482
51139,"Page County, Virginia",23544,4780,20.3024125
51141,"Patrick County, Virginia",17255,3051,17.68183135
51143,"Pittsylvania County, Virginia",59486,11250,18.91201291
51145,"Powhatan County, Virginia",27786,5107,18.37975959
51147,"Prince Edward County, Virginia",16349,3105,18.99198728
51149,"Prince George County, Virginia",37428,9246,24.70343059
51153,"Prince William County, Virginia",471165,126713,26.89355109
51155,"Pulaski County, Virginia",32633,5968,18.28823583
51157,"Rappahannock County, Virginia",7354,1340,18.22137612
51159,"Richmond County, Virginia",7250,1484,20.46896552
51161,"Roanoke County, Virginia",93939,19190,20.42815018
51163,"Rockbridge County, Virginia",22369,3924,17.5421342
51165,"Rockingham County, Virginia",81134,18220,22.45667661
51167,"Russell County, Virginia",25638,4809,18.75731336
51169,"Scott County, Virginia",20730,3934,18.97732754
51171,"Shenandoah County, Virginia",43587,9228,21.1714502
51173,"Smyth County, Virginia",29304,5672,19.35571936
51175,"Southampton County, Virginia",16566,3359,20.27646988
51177,"Spotsylvania County, Virginia",137651,33770,24.53305824
51179,"Stafford County, Virginia",149991,39953,26.63693155
51181,"Surry County, Virginia",6555,1150,17.54385965
51183,"Sussex County, Virginia",9420,1676,17.79193206
51185,"Tazewell County, Virginia",39069,7813,19.99795234
51187,"Warren County, Virginia",39637,8793,22.18381815
51191,"Washington County, Virginia",52284,9423,18.02272206
51193,"Westmoreland County, Virginia",18121,3272,18.05639865
51195,"Wise County, Virginia",33422,6665,19.9419544
51197,"Wythe County, Virginia",28057,5413,19.29286809
51199,"York County, Virginia",67755,16250,23.98346985
51510,"Alexandria city, Virginia",156643,28477,18.17955478
51520,"Bristol city, Virginia",16742,3371,20.13498985
51530,"Buena Vista city, Virginia",6117,1356,22.16772928
51540,"Charlottesville city, Virginia",44003,7174,16.30343386
51550,"Chesapeake city, Virginia",242326,59816,24.68410323
51570,"Colonial Heights city, Virginia",17880,4114,23.00894855
51580,"Covington city, Virginia",5608,1266,22.57489301
51590,"Danville city, Virginia",41119,9374,22.79724701
51595,"Emporia city, Virginia",5591,1654,29.58325881
51600,"Fairfax city, Virginia",23159,5088,21.96986053
51610,"Falls Church city, Virginia",14475,3538,24.44214162
51620,"Franklin city, Virginia",8111,2078,25.61952903
51630,"Fredericksburg city, Virginia",25580,5669,22.16184519
51640,"Galax city, Virginia",6434,1552,24.12185266
51650,"Hampton city, Virginia",132153,28794,21.78838165
51660,"Harrisonburg city, Virginia",44982,8435,18.75194522
51670,"Hopewell city, Virginia",22822,5923,25.95302778
51678,"Lexington city, Virginia",4315,585,13.55735805
51680,"Lynchburg city, Virginia",68869,14683,21.3201876
51683,"Manassas city, Virginia",42459,11218,26.4207824
51685,"Manassas Park city, Virginia",16946,4186,24.70199457
51690,"Martinsville city, Virginia",13060,3384,25.91117917
51700,"Newport News city, Virginia",176740,42772,24.20052054
51710,"Norfolk city, Virginia",212572,46216,21.74133941
51720,"Norton city, Virginia",3642,643,17.65513454
51730,"Petersburg city, Virginia",32792,7134,21.75530617
51735,"Poquoson city, Virginia",12332,2681,21.74018813
51740,"Portsmouth city, Virginia",93571,22288,23.81934574
51750,"Radford city, Virginia",13340,1801,13.50074963
51760,"Richmond city, Virginia",216341,38228,17.67025206
51770,"Roanoke city, Virginia",98079,21964,22.39419244
51775,"Salem city, Virginia",22834,4702,20.5920995
51790,"Staunton city, Virginia",24080,4745,19.7051495
51800,"Suffolk city, Virginia",92611,22174,23.9431601
51810,"Virginia Beach city, Virginia",447604,100324,22.41356199
51820,"Waynesboro city, Virginia",21863,4878,22.31166812
51830,"Williamsburg city, Virginia",10687,1617,15.13053242
51840,"Winchester city, Virginia",27162,6298,23.1868051