State,Renewable energy,Total production,%,POSTAL ABBREVIATION,
Alabama,288.5,"1,205.9",23.92504594,AL,
Alaska,24.7,"1,349.0",1.82969364,AK,
Arizona,152.0,481.6,31.5701611,AZ,
Arkansas,111.5,782.4,14.25660821,AR,
California,"1,013.9","2,190.2",46.29101173,CA,
Colorado,186.1,"3,775.3",4.930263728,CO,
Connecticut,37.4,201.5,18.55882951,CT,
Delaware,3.6,3.6,100,DC,
"District of
Columbia",2.1,2.1,100,FL,
Florida,258.2,574.9,44.90933697,FL,
Georgia,313.2,656.0,47.74605846,GA,
Hawaii,28.0,28.0,100,HI,
Idaho,151.6,151.7,99.92223233,ID,
Illinois,381.3,"2,160.2",17.64878251,IL,
Indiana,247.0,710.2,34.77922301,IN,
Iowa,900.0,930.3,96.7397111,IA,
Kansas,299.3,759.6,39.40286364,KS,
Kentucky,90.3,756.0,11.94777881,KY,
Louisiana,131.2,"3,838.3",3.417754828,LA,
Maine,132.9,132.9,100,ME,
Maryland,47.2,232.1,20.34732933,MD,
Massachusetts,73.9,73.9,100,MA,
Michigan,0.0,635.5,0,MI,
Minnesota,352.0,505.2,69.66608147,MN,
Mississippi,64.3,268.1,24.00095502,MS,
Missouri,140.0,224.6,62.32616322,MO,
Montana,137.9,757.4,18.21211201,MT,
Nebraska,342.3,416.8,82.121042,NE,
Nevada,115.3,116.4,99.03094449,NV,
New Hampshire,45.7,148.7,30.73499055,NH,
New Jersey,51.9,331.1,15.66941929,NJ,
New Mexico,96.4,"4,673.7",2.063615245,NM,
New York,426.2,839.0,50.79240785,NY,
North Carolina,281.1,723.1,38.87808723,NC,
North Dakota,224.4,"4,275.0",5.249392274,ND,
Ohio,161.1,"3,186.9",5.054687203,OH,
Oklahoma,323.7,"4,545.6",7.122130499,OK,
Oregon,453.5,453.9,99.92574885,OR,
Pennsylvania,189.1,"9,492.1",1.992707799,PA,
Rhode Island,11.4,11.4,100,RI,
South Carolina,160.7,732.4,21.94133903,SC,
South Dakota,262.0,268.4,97.61656371,SD,
Tennessee,202.0,591.3,34.16773631,TN,
Texas,"1,059.2","23,329.1",4.540400583,TX,
Utah,50.8,789.1,6.442504613,UT,
Vermont,37.5,37.5,100,VT,
Virginia,147.2,821.8,17.91403667,VA,
Washington,871.2,969.7,89.84847532,WA,
West Virginia,41.4,"5,020.2",0.82546693,WV,
Wisconsin,200.9,303.0,66.32362746,WI,
Wyoming,64.9,"5,884.4",1.102523448,WY,